stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
HAUCOU-E,652182,Haut Coudray,47.530522,-0.624129,0,Europe/Paris,1
1BROY,32629,Bois du Roy,47.499605,-0.5831590000000001,0,Europe/Paris,1
PONTNOIR,14304,Pont Noir,47.46384,-0.5628930000000001,0,Europe/Paris,1
LORETTE,7966,Lorette,47.451326,-0.5480290000000001,0,Europe/Paris,1
CEEQUEST,14512,Centre Équestre,47.45958,-0.4847050000000001,0,Europe/Paris,1
MORLON-E,730975,Morlong,47.441603,-0.4923600000000001,0,Europe/Paris,0
LAPOINTE,16943,La Pointe,47.410287,-0.6198390000000001,0,Europe/Paris,1
CORNCROI,650527,Croix Verte,47.474177,-0.35473,0,Europe/Paris,0
BOISDA-E,586590,Bois des Dames,47.566143,-0.6779700000000001,0,Europe/Paris,1
QUAIsubW,917275,Le Quai,47.472595,-0.5664940000000001,0,Europe/Paris,1
CHOUTE-E,22740,Chouteau,47.446118,-0.4967040000000001,0,Europe/Paris,1
LEDENIER,6046,Maison du Lac,47.466007,-0.5989000000000001,0,Europe/Paris,1
THULEAU,17278,Thuleau,47.476489,-0.5283900000000001,0,Europe/Paris,1
SMATOF-E,634987,St-Mathurin Mairie,47.409445,-0.322172,0,Europe/Paris,0
ABI-E,931,Avicenne,47.481266,-0.6888690000000001,0,Europe/Paris,0
GRANCLOS,51638,Grand Clos,47.479709,-0.4136310000000001,0,Europe/Paris,0
CIOUEST,16897,Cimetière de l'Ouest,47.478481,-0.5696840000000001,0,Europe/Paris,1
GRANDC-E,85459,Grand Claye,47.387094,-0.5384380000000001,0,Europe/Paris,0
LAJANV-E,31442,Janvrie,47.504213,-0.6999370000000001,0,Europe/Paris,0
MENA-E,6305,Ménard,47.445717,-0.4936860000000001,0,Europe/Paris,1
ROCHEF-E,13000,La Rochefoucauld,47.479428,-0.5567320000000001,0,Europe/Paris,1
2HARA,14426,Foch-Haras,47.466749,-0.5525670000000001,0,Europe/Paris,1
TURMIN-E,393447,Turminière,47.56669,-0.5457490000000002,0,Europe/Paris,0
2BMAI,28864,Berges de Maine,47.479441,-0.5493700000000001,0,Europe/Paris,1
MLYAUT-E,22959,Maréchal Lyautey,47.491833,-0.5837370000000001,0,Europe/Paris,1
1ANRO,3935,Roseraie,47.443849,-0.5538860000000001,0,Europe/Paris,1
SECUSO-E,14711,Sécurité Sociale,47.468992,-0.5401000000000001,0,Europe/Paris,1
POLE49,573557,Pôle 49,47.489,-0.4912260000000001,0,Europe/Paris,1
DELAUN-E,,Delaune,47.500741,-0.5895730000000001,0,Europe/Paris,0
MONP23-E,6511,Monplaisir,47.489893,-0.5268830000000001,0,Europe/Paris,1
OLIVER-E,28837,L'Oliveraie,47.427336,-0.7126620000000001,0,Europe/Paris,0
ROUAIR-E,20788,Rouairie,47.475505,-0.6389020000000001,0,Europe/Paris,1
PATTON-E,9022,Patton,47.473564,-0.5893460000000001,0,Europe/Paris,1
2HDVA,184082,Hôtel de Ville,47.47166,-0.5466690000000001,0,Europe/Paris,1
CORNMAIR,544320,Corné Mairie,47.470999,-0.350606,0,Europe/Paris,0
MURSHV-E,30163,Murs-Érigné Hôtel de Ville,47.401835,-0.5370600000000001,0,Europe/Paris,1
PTANJOU,24470,Croisée,47.458892,-0.6681720000000001,0,Europe/Paris,0
2AARD,22259,Avrillé - Ardenne,47.511546,-0.5959310000000001,0,Europe/Paris,1
GENTRIC,45617,Gentric,47.447382,-0.4857160000000001,0,Europe/Paris,0
CRBEAU,21760,Croix de Beauvais,47.611882,-0.5853230000000001,0,Europe/Paris,0
VANRIE,23633,La Venrie,47.421245,-0.5699880000000001,0,Europe/Paris,1
MORELI-E,6659,Morellerie,47.451671,-0.5453340000000001,0,Europe/Paris,1
DELATTAS,27760,De Lattre,47.453364,-0.5412000000000001,0,Europe/Paris,1
GRANDPIN,21061,Grand Pin,47.473291,-0.6319530000000001,0,Europe/Paris,1
GRANMAIS,936827,Grand Maison,47.546108,-0.4782740000000001,0,Europe/Paris,0
POMANJ-E,19679,Pomanjou,47.500202,-0.5207079999999999,0,Europe/Paris,0
STLEONA.,7908,St-Léonard,47.45977,-0.5210710000000001,0,Europe/Paris,1
CEZAN-E,16647,Cézanne,47.469635,-0.4919360000000001,0,Europe/Paris,1
STSYL-AR,397,Carreaux,47.512716,-0.4710420000000001,0,Europe/Paris,0
PORTSG-E,9108,Le Port,47.421563,-0.5739919999999999,0,Europe/Paris,1
LOIRE-E,700127,Loire,47.417791,-0.5234420000000001,0,Europe/Paris,1
CERFEUIL,932156,Cerfeuil,47.47774,-0.6359000000000001,0,Europe/Paris,1
2LGAR,11515,Les Gares,47.464494,-0.5553500000000001,0,Europe/Paris,1
2EURO,,Europe,47.486624,-0.5271590000000002,0,Europe/Paris,1
MARAIS,969560,Marais,47.450034,-0.5043860000000001,0,Europe/Paris,1
LEVRAUDE,,Levrauderies,47.466678,-0.4686380000000001,0,Europe/Paris,0
GUILLEB.,13455,Guillebotte,47.437417,-0.5137,0,Europe/Paris,1
I.U.T.,598651,IUT,47.480263,-0.6024720000000001,0,Europe/Paris,1
DURVIL-E,22678,Dumont d'Urville,47.445056,-0.5572350000000001,0,Europe/Paris,1
CLEMEG-E,24799,St-Clément Église,47.524854,-0.7452170000000001,0,Europe/Paris,0
BICHO.-E,991,Bichon,47.4793,-0.5646679999999999,0,Europe/Paris,1
STRAS2-E,23061,Strasbourg,47.457138,-0.5543220000000001,0,Europe/Paris,1
CITRON-E,4467,Citronnelle,47.479321,-0.6337460000000001,0,Europe/Paris,1
LABABEAU,695120,La Barre,47.473546,-0.5996540000000001,0,Europe/Paris,0
CHANTR-E,,Chanterie,47.480145,-0.4935470000000001,0,Europe/Paris,1
BACHEM-E,157642,Bas Chemin,47.424905,-0.3842690000000001,0,Europe/Paris,0
BMOTTE-E,11002,Belle Motte,47.530981,-0.5165240000000001,0,Europe/Paris,0
PALLUAU,227710,Palluau,47.425504,-0.335457,0,Europe/Paris,0
REVERI-E,13109,Rêveries,47.482106,-0.5778550000000001,0,Europe/Paris,1
GILLIER,4265,Gillier,47.475051,-0.5258880000000001,0,Europe/Paris,1
GRIMOREL,7975,Grimorelle,47.529494,-0.5073070000000001,0,Europe/Paris,0
BANCSTMA,20610,Banchais,47.486004,-0.5123750000000001,0,Europe/Paris,0
GARECO-E,23799,Gare d'Écouflant,47.503879,-0.5197120000000001,0,Europe/Paris,0
CHENERON,980954,Chêne Rond,47.39594,-0.5364200000000001,0,Europe/Paris,0
ROYALE-E,437159,Royale,47.4716,-0.34092,0,Europe/Paris,1
ESPACE5A,8609,Espace Anjou,47.46739,-0.5203260000000001,0,Europe/Paris,1
FRANCAIS,26601,Françaiserie,47.520938,-0.4657690000000001,0,Europe/Paris,1
EMPIRE,15565,Empiré,47.423122,-0.5928350000000001,0,Europe/Paris,0
ROUSSIER,4742,Roussière,47.574652,-0.6506729999999999,0,Europe/Paris,0
SAECOPRI,591978,Savennières École publique,47.383295,-0.6558250000000001,0,Europe/Paris,0
BOURG-E,14979,Bourg,47.590757,-0.5552170000000001,0,Europe/Paris,0
FFAURE,28159,Félix Faure,47.48566,-0.5473070000000001,0,Europe/Paris,0
GDPERIGN,13901,Grand Périgné,47.473809,-0.6146640000000001,0,Europe/Paris,1
GASNIE-E,30059,Gasnier,47.485229,-0.5716750000000002,0,Europe/Paris,1
WTBOT,45969,Terra Botanica,47.494083,-0.5747160000000001,0,Europe/Paris,1
VALOR,30790,Val d'Or,47.484669,-0.5840880000000001,0,Europe/Paris,1
MEUNIERS,262219,Meuniers,47.495143,-0.432133,0,Europe/Paris,1
PIGNONIE,26672,Pignonière,47.487289,-0.4982630000000001,0,Europe/Paris,1
CARREA-E,19826,Carreaux,47.512066,-0.4714170000000001,0,Europe/Paris,1
BRAI8MAI,789925,Place du 8 Mai,47.446118,-0.412392,0,Europe/Paris,0
JUINGER,694542,Juingères,47.499514,-0.412828,0,Europe/Paris,1
CASERNE,331307,Caserne,47.470251,-0.5148980000000001,0,Europe/Paris,1
SAULAI-E,679503,Saulais,47.47016,-0.4617850000000001,0,Europe/Paris,0
LABARR-E,24553,La Barre,47.473282,-0.5990820000000001,0,Europe/Paris,1
ZOLA-E,310986,Zola,47.528977,-0.6109260000000001,0,Europe/Paris,1
BUISSON,3856,Buisson,47.442039,-0.4846330000000001,0,Europe/Paris,1
POUIL-AR,666530,Pouillé,47.432846,-0.5321800000000001,0,Europe/Paris,1
SAJACQ-E,10642,St-Jacques,47.473726,-0.5726160000000001,0,Europe/Paris,1
BEAUCOUZ,28687,Haute Roche,47.470313,-0.6251679999999999,0,Europe/Paris,0
PLACENEY,18833,Place Ney,47.478347,-0.5435340000000001,0,Europe/Paris,1
PCOUBERT,27982,Coubertin,47.462415,-0.5324680000000001,0,Europe/Paris,1
MENARD,20226,Ménard,47.445845,-0.4938670000000001,0,Europe/Paris,0
FOUQUETT,1497,Fouquetterie,47.467921,-0.7051790000000001,0,Europe/Paris,0
HTEBRUY,901720,Hautes Bruyères,47.59125,-0.4521290000000001,0,Europe/Paris,0
TERNIERE,304,Ternière,47.505698,-0.5926350000000001,0,Europe/Paris,1
PEPINIER,10185,Trélazé Gare,47.452448,-0.4700170000000001,0,Europe/Paris,1
PTELANDE,671903,Petite Lande,47.451239,-0.431977,0,Europe/Paris,0
DLOGISNO,,Logis Notre-Dame -reporté-,47.498174,-0.426385,0,Europe/Paris,0
PTGRCH-E,24018,Petits Grandchamps,47.464034,-0.7143410000000001,0,Europe/Paris,0
NDAMELAC,23915,Notre Dame du Lac,47.47964,-0.5898139999999999,0,Europe/Paris,1
ESATBE-E,611355,ESAT Béjonnières,47.481344,-0.5101960000000001,0,Europe/Paris,0
BOIRES,904270,Les Boires,47.413857,-0.2960420000000001,0,Europe/Paris,0
MALNOU-E,863688,Malnoue,47.369009,-0.5171559999999999,0,Europe/Paris,0
GABORIAU,420094,Gaboriau,47.562738,-0.6752720000000001,0,Europe/Paris,1
BOISPOUI,393328,Bois de Pouillé,47.423282,-0.6876170000000001,0,Europe/Paris,0
BICHON,27019,Bichon,47.47873,-0.5641929999999999,0,Europe/Paris,1
PRUILL-E,430244,Pruillé Centre,47.577058,-0.6627550000000001,0,Europe/Paris,0
BBCAMTEC,,Belle-Beille Campus,47.478583,-0.6060580000000001,0,Europe/Paris,1
MAISNEUV,475623,Maison Neuve,47.454514,-0.428178,0,Europe/Paris,0
ISORET,25741,Isoret,47.474718,-0.5208320000000001,0,Europe/Paris,1
ACADEMIE,913399,Académie,47.467432,-0.5591450000000001,0,Europe/Paris,0
ECHATS-E,30592,Échats,47.481018,-0.6319170000000001,0,Europe/Paris,1
CIOUES-E,18204,Cimetière de l'Ouest,47.479344,-0.5707470000000001,0,Europe/Paris,1
GRUICHE,306120,Gruiche,47.555045,-0.450359,0,Europe/Paris,0
BAHONN-E,1159,Bahonneau,47.453429,-0.4829500000000001,0,Europe/Paris,1
MONTREJO,,Montrejeau,47.468047,-0.5212900000000001,0,Europe/Paris,0
LAVAL2-E,231673,La Vallée,47.49358,-0.389133,0,Europe/Paris,1
AAQUITN,,Aliénor d'Aquitaine,47.462897,-0.6150490000000001,0,Europe/Paris,1
BLANDEAU,7587,Blandeau,47.457523,-0.5433120000000001,0,Europe/Paris,1
DESER-E,60376,De Serre,47.477763,-0.6147650000000001,0,Europe/Paris,0
PETGUI-E,993424,Petit Guichard,47.526101,-0.4789770000000001,0,Europe/Paris,0
EPIRE,27409,Épiré,47.398581,-0.6346150000000002,0,Europe/Paris,0
MORLONG,906258,Morlong,47.441833,-0.4926490000000001,0,Europe/Paris,1
SOULECOL,51293,Soulaines École,47.36587,-0.5215550000000001,0,Europe/Paris,0
PARCGARE,1681,Garenne,47.47834,-0.5766530000000001,0,Europe/Paris,1
PELLEG-E,243747,Pellouailles Église,47.522438,-0.443502,0,Europe/Paris,0
VERDUN,31885,Verdun,47.468191,-0.4932420000000001,0,Europe/Paris,1
MEMMAIR,4208,Membrolle Mairie,47.560825,-0.6730699999999999,0,Europe/Paris,0
NOUELLE,27066,Nouelle,47.544926,-0.6697100000000001,0,Europe/Paris,1
MENDESFR,10353,Mendès France,47.472555,-0.5462390000000001,0,Europe/Paris,1
SAUBIN,523612,St-Aubin La Salle,47.489312,-0.5040800000000001,0,Europe/Paris,1
LAGLOU-E,32242,Gloutière,47.508178,-0.643696,0,Europe/Paris,0
GOURGEA,358087,Gourgeauderies,47.45119,-0.6448290000000001,0,Europe/Paris,1
MARMITIE,28460,Marmitière,47.466682,-0.4905570000000001,0,Europe/Paris,0
MON1GA-E,1148,Mongazon,47.460864,-0.5284430000000001,0,Europe/Paris,1
RUAU,279260,Le Ruau,47.42432,-0.3987010000000001,0,Europe/Paris,0
RENOIR,26525,Auguste Renoir,47.536082,-0.6185770000000002,0,Europe/Paris,1
HERMIT32,1981,L'Hermitage,47.584608,-0.417577,0,Europe/Paris,0
LEOLAGRA,5291,Léo Lagrange,47.447837,-0.5099330000000001,0,Europe/Paris,1
LAGLOUTI,1095,Gloutière,47.509386,-0.6462200000000001,0,Europe/Paris,0
2STSE,175339,St-Serge Université,47.47625,-0.5506880000000001,0,Europe/Paris,1
GRANCLAY,748121,Grand Claye,47.38707,-0.5383530000000001,0,Europe/Paris,0
SOULBEAU,584958,Beaurepaire Soulaire,47.556439,-0.5555750000000002,0,Europe/Paris,0
FONTAI-E,26615,La Fontaine,47.569663,-0.5903490000000001,0,Europe/Paris,0
AUBEPI-E,9385,Aubépine,47.461562,-0.4958990000000001,0,Europe/Paris,1
DEBUSSY,32335,Debussy,47.48831,-0.5161130000000002,0,Europe/Paris,1
BALAND-E,30198,Basse Lande,47.50546,-0.5953490000000001,0,Europe/Paris,1
OREEBOIS,78210,L'Orée des Bois,47.508384,-0.378844,0,Europe/Paris,0
CFPA,13734,AFPA,47.471545,-0.5233500000000001,0,Europe/Paris,1
LESSARTS,25628,Les Essarts,47.469086,-0.736728,0,Europe/Paris,0
CLOUET-E,6874,Clouet,47.480639,-0.5663620000000001,0,Europe/Paris,1
BARBOT-E,1092,Barboterie,47.400873,-0.5251670000000001,0,Europe/Paris,1
BOUGO.-E,10871,Bourgonnier,47.461608,-0.5411950000000001,0,Europe/Paris,1
HAUTPR-E,52,Haut Pressoir,47.453158,-0.5380990000000001,0,Europe/Paris,1
MONPLA23,936893,Monplaisir,47.489698,-0.5271100000000001,0,Europe/Paris,1
PLATEF-E,28725,Plateau Fleuri,47.529925,-0.5977170000000001,0,Europe/Paris,1
PORTSG,30148,Le Port,47.421506,-0.5736140000000001,0,Europe/Paris,1
HULLETER,25810,Hulleteries,47.465353,-0.7209320000000001,0,Europe/Paris,0
MOLINERI,8190,Molinerie,47.521471,-0.6668900000000001,0,Europe/Paris,0
ERIGNE-E,31182,Érigné,47.400598,-0.5305110000000001,0,Europe/Paris,1
LORETT-E,9272,Lorette,47.451214,-0.5475960000000001,0,Europe/Paris,1
VEILLE-E,184735,Veillerot,47.523609,-0.4729960000000001,0,Europe/Paris,0
ANDAMAIR,383609,Andard Mairie,47.456535,-0.39818,0,Europe/Paris,0
VERIGN-E,24724,Vérigné,47.588212,-0.4935070000000001,0,Europe/Paris,0
JEBOUT-E,12854,Jean Boutton,47.438891,-0.5072440000000001,0,Europe/Paris,1
GRIMOR-E,24527,Grimorelle,47.529422,-0.5072990000000001,0,Europe/Paris,0
JUIGN-E,15158,Juigné,47.539135,-0.616141,0,Europe/Paris,1
VIELLMAI,21047,Vieille Maine,47.529842,-0.5278210000000001,0,Europe/Paris,1
CHANZY-E,32089,Chanzy,47.460053,-0.5576650000000001,0,Europe/Paris,1
LALAN-E,8374,Lande,47.562431,-0.5853110000000001,0,Europe/Paris,0
MIRABE-E,9418,Mirabeau,47.459474,-0.5488390000000001,0,Europe/Paris,1
DIONNEAU,28948,Dionneau,47.438788,-0.5300020000000001,0,Europe/Paris,1
OISEA-E,,Oiseaux,47.501826,-0.5858960000000001,0,Europe/Paris,0
VERDUN-E,32668,Verdun,47.468482,-0.4927960000000001,0,Europe/Paris,1
LABUIS-E,24945,La Buissaie,47.396155,-0.5523760000000001,0,Europe/Paris,1
WIGAN-E,16501,Wigan,47.459477,-0.6081280000000001,0,Europe/Paris,1
CARRF5B,9318,Carrefour St-Serge,47.488084,-0.5425110000000001,0,Europe/Paris,1
MONNI-E,,Monnier,47.403978,-0.5268510000000001,0,Europe/Paris,0
LECORBUS,12622,Le Corbusier,47.484404,-0.6317860000000001,0,Europe/Paris,1
BRAICO-E,837119,Croix Combeau,47.453695,-0.408351,0,Europe/Paris,0
DAGUENET,,Daguenet,47.474811,-0.5284440000000001,0,Europe/Paris,1
CLINIQ-E,27786,Clinique St-Didier,47.485338,-0.5874270000000001,0,Europe/Paris,1
MAI4VEN,30964,Mail des 4 Vents,47.531792,-0.5285540000000001,0,Europe/Paris,1
VENSCO,863100,Venaiserie Collège,47.471673,-0.4862870000000001,0,Europe/Paris,0
SOUSTA-E,916505,Soucelles Stade,47.57002,-0.421902,0,Europe/Paris,0
DELESCL,27348,Delescluze,47.466083,-0.6048920000000001,0,Europe/Paris,1
CHATEN-E,2767,Châtenay,47.482569,-0.5211800000000001,0,Europe/Paris,1
LACACC-E,16598,Maison de L'Environnement,47.46405,-0.5943290000000001,0,Europe/Paris,1
LAEN-E,66371,Laennec,47.53943,-0.6186420000000001,0,Europe/Paris,1
MALBOI-E,576278,Malboire,47.481774,-0.413922,0,Europe/Paris,0
PARCIN-E,530720,L'Épervière,47.507072,-0.5088370000000001,0,Europe/Paris,0
PROME-E,27692,Promeniers,47.477386,-0.6313550000000001,0,Europe/Paris,1
PLATFLEU,14518,Plateau Fleuri,47.529687,-0.5980730000000001,0,Europe/Paris,1
LA-BOI-E,575897,La Boissière,47.504706,-0.6001750000000001,0,Europe/Paris,1
BERAUDIE,459554,Les Béraudières,47.504779,-0.440341,0,Europe/Paris,1
NOYAU,40211,Noyau,47.51263,-0.36556,0,Europe/Paris,0
LABOETTE,274792,La Boette,47.420297,-0.4460450000000001,0,Europe/Paris,1
MILLOT-E,2926,Saumuroise,47.456802,-0.5319040000000002,0,Europe/Paris,1
MUSSET,21453,Musset,47.473724,-0.5397470000000001,0,Europe/Paris,1
RGILARDI,390494,Gilardières,47.385927,-0.5646870000000001,0,Europe/Paris,0
LAURIE-E,371317,L'aurière,47.567796,-0.5792680000000001,0,Europe/Paris,1
SAVARY,20832,Savary,47.47354,-0.5427360000000001,0,Europe/Paris,1
CLEMENCE,,Clémenceau,47.476613,-0.5671900000000001,0,Europe/Paris,1
SORGES,27536,Sorges,47.43187,-0.4852210000000001,0,Europe/Paris,0
CMONGAZO,242614,Chemin de Mongazon,47.484567,-0.4850480000000001,0,Europe/Paris,1
DESJAR-E,8104,Desjardins,47.477862,-0.530132,0,Europe/Paris,1
ROCEPI-E,17525,Roc Épine,47.480265,-0.5758070000000001,0,Europe/Paris,1
VANRIE-E,13574,La Venrie,47.421438,-0.5704850000000001,0,Europe/Paris,1
BOULAI-E,566656,Boulaie,47.494277,-0.40425,0,Europe/Paris,0
CHAPE-E,822070,Chapelles,47.468641,-0.382972,0,Europe/Paris,0
JOUVET,454522,Jouvet,47.558573,-0.670089,0,Europe/Paris,1
PELLER-E,13867,Pellerinière,47.460197,-0.4873900000000001,0,Europe/Paris,1
GENDRI-E,787054,Gendrie,47.498822,-0.324752,0,Europe/Paris,0
JARDF-E,46662,Jardins Familiaux,47.485579,-0.5081059999999999,0,Europe/Paris,1
CASERN-E,326343,Caserne,47.470421,-0.5166320000000001,0,Europe/Paris,1
MALAQU-E,27851,Malaquais,47.444013,-0.4902410000000001,0,Europe/Paris,1
DOMVATER,266184,Domaine du Val,47.536643,-0.6247900000000001,0,Europe/Paris,1
FREMUR-E,19151,Frémur,47.458583,-0.5580889999999999,0,Europe/Paris,1
2JVIL,4486,Jean Vilar,47.44488,-0.5622549999999999,0,Europe/Paris,1
LEVESQ-E,29876,Levesque,47.402203,-0.5344560000000002,0,Europe/Paris,1
ROFOUL-E,627992,Roche Foulques,47.575918,-0.4553650000000001,0,Europe/Paris,0
ACAD-PLA,33737,Académie,47.46843,-0.5586860000000001,0,Europe/Paris,0
GPOMPI-E,10339,Pompidou,47.492074,-0.5922300000000001,0,Europe/Paris,0
1DOUT,,Doutre,47.47414,-0.5605780000000001,0,Europe/Paris,1
ESP-LON,16227,Espace Longuenée,47.540102,-0.6729930000000001,0,Europe/Paris,1
CITEUN-E,27788,Cité Universitaire,47.478676,-0.5981760000000002,0,Europe/Paris,1
DIX8JU-E,22297,18-juin,47.529605,-0.6180410000000001,0,Europe/Paris,0
CAMPJU-E,996,Juigné Camping,47.537139,-0.6168490000000001,0,Europe/Paris,0
STAUBI-E,31700,Foch-St-Aubin,47.468146,-0.5510440000000001,0,Europe/Paris,1
AAMIPI,32237,AMIPI,47.463699,-0.6266260000000001,0,Europe/Paris,0
LAMAIL-E,505607,Maillée,47.485132,-0.391329,0,Europe/Paris,0
BEHUARD,509673,Béhuard Bourg,47.378789,-0.6448850000000002,0,Europe/Paris,0
2PMAY,4961,Plateau Mayenne,47.49576,-0.5799400000000001,0,Europe/Paris,1
FROMIOUX,159425,Fromioux,47.509048,-0.7149960000000001,0,Europe/Paris,0
PETLANDE,11977,Petite Lande,47.550843,-0.5802250000000001,0,Europe/Paris,0
VALEO-E,6240,Valéo,47.501925,-0.5170470000000001,0,Europe/Paris,1
GARVIBRI,30863,Gare Vieux Briollay,47.573108,-0.4828010000000001,0,Europe/Paris,0
